CLASS,CULTIVAR,GERM,SL,RL,TL,SDM,RDM,TDM
Control,5D 615 RR,96,7.5,8.5,16,35.9,21.2,57.1
Control,5D 615 RR,94,8.2,10.3,18.5,31.2,15.8,47
Control,5D 615 RR,92,12.3,10,22.2,39.5,16.6,56.1
Control,5D 615 RR,92,8.1,10.6,18.7,32.5,19.8,52.3
Control,5D 690 RR,68,10.7,9.9,20.6,38.4,15.4,53.9
Control,5D 690 RR,76,13.1,8.8,21.8,50.1,18.4,68.4
Control,5D 690 RR,68,10.1,9,19.1,44,16,60
Control,5D 690 RR,70,10.6,7.9,18.5,47.9,19,67
Control,5D 6215 IPRO,96,15.3,11.2,26.5,44.5,14.3,58.8
Control,5D 6215 IPRO,92,13.2,10.7,23.9,35.4,12.4,47.8
Control,5D 6215 IPRO,88,14.4,11.8,26.2,38.7,15.4,54.1
Control,5D 6215 IPRO,100,9.7,9.7,19.4,36.1,14.2,50.2
Control,5G 770 RR,92,12.3,10.9,23.1,39.7,14.2,53.8
Control,5G 770 RR,84,13.2,10.7,23.9,39.7,13.4,53.1
Control,5G 770 RR,92,10.8,11.1,21.8,41.9,17,58.9
Control,5G 770 RR,92,11.2,13.2,24.3,35.2,14.7,49.9
Control,5G 830 RR,92,10.8,9.2,19.9,37.1,12.6,49.7
Control,5G 830 RR,100,17.8,10.3,28.1,45.2,10.2,55.4
Control,5G 830 RR,100,16.5,12.6,29.1,45.1,11.4,56.6
Control,5G 830 RR,100,14.1,11.3,25.4,42,12.6,54.7
Control,95R51,80,10.7,7.5,18.2,59,20.4,79.5
Control,95R51,84,14.1,8.4,22.5,46.6,12.4,59
Control,95R51,84,15.9,9.7,25.6,50.6,12.8,63.4
Control,95R51,84,12.5,7.5,20,52.8,13.2,66
Control,97R21,92,20.2,13.5,33.7,49.2,16.1,65.3
Control,97R21,84,13.2,10.7,23.9,47.1,15.6,62.7
Control,97R21,88,10,10.2,20.2,48.8,15.6,64.4
Control,97R21,96,16.2,13.9,30.1,52.4,15.9,68.3
Control,97R73RR,92,11.7,11.7,23.4,46.3,20.4,66.6
Control,97R73RR,96,12.9,12.5,25.4,49.3,21.7,71.1
Control,97R73RR,92,11.7,13.6,25.3,43.7,21.4,65.1
Control,97R73RR,96,12.8,12.2,25,40.9,18.9,59.7
Control,CD 238 RR,88,16.5,11,27.5,40.7,12.1,52.7
Control,CD 238 RR,92,15,13,28,45.8,14.6,60.4
Control,CD 238 RR,84,10.1,10.2,20.3,36.4,12.6,49
Control,CD 238 RR,92,15.4,11.9,27.2,44.2,15.9,60.1
Control,CD 250,92,17,13.2,30.2,45,15.6,60.6
Control,CD 250,96,15.5,14.3,29.8,43.6,15.2,58.8
Control,CD 250,92,20,14.5,34.4,43.8,14.2,58
Control,CD 250,96,17.7,14.7,32.4,44.5,17.2,61.7
Control,CG 67 RR,100,19.4,17.8,37.1,49.9,18,67.9
Control,CG 67 RR,100,20.2,17,37.2,50.3,15,65.3
Control,CG 67 RR,96,17.7,15.6,33.3,49.1,17.4,66.5
Control,CG 67 RR,100,20.3,15.7,36,51.6,17.7,69.3
Control,CG 68 RR,80,14.9,10.2,25.1,44.5,14.9,59.4
Control,CG 68 RR,80,13.5,10.1,23.5,43.9,17.5,61.3
Control,CG 68 RR,80,13.3,10.8,24.1,44.7,16.4,61.1
Control,CG 68 RR,84,11.6,12,23.6,42.2,17,59.1
Control,CG 7464 RR,88,17.7,14.3,32,49.8,15.7,65.5
Control,CG 7464 RR,88,15.5,12.7,28.2,48.3,16.7,65
Control,CG 7464 RR,92,18.5,16.2,34.7,51.4,15.9,67.3
Control,CG 7464 RR,88,18.1,15.8,33.9,48.2,15.9,64.1
Control,CG 7665 RR,84,17.6,12.2,29.8,50.4,16.5,66.9
Control,CG 7665 RR,88,15.3,13.5,28.8,47.5,15.7,63.2
Control,CG 7665 RR,84,16,12.6,28.5,46,15.8,61.8
Control,CG 7665 RR,80,16,11.2,27.2,44.9,14.7,59.7
Control,CG 8166 RR,84,18.2,11.1,29.3,43.2,13.2,56.4
Control,CG 8166 RR,88,20.3,13.8,34.1,35.9,13.6,49.5
Control,CG 8166 RR,84,15.9,10.5,26.4,45.8,13.8,59.7
Control,CG 8166 RR,88,19,12.9,31.9,45.4,14.8,60.2
Control,LG 60163 IPRO,88,21,16.7,37.7,62.4,20.9,83.3
Control,LG 60163 IPRO,96,17.8,13.7,31.5,50.5,20.5,71.1
Control,LG 60163 IPRO,92,20,15.8,35.8,58.3,19.5,77.7
Control,LG 60163 IPRO,92,17,13.6,30.6,54.3,18.5,72.8
Control,LG 60177 IPRO,100,16.8,16.4,33.2,42.4,14.9,57.4
Control,LG 60177 IPRO,92,18.7,15.6,34.3,45.1,14.9,60
Control,LG 60177 IPRO,92,18.9,14.5,33.4,43.3,15.3,58.6
Control,LG 60177 IPRO,92,18.9,13.6,32.5,41.7,13.7,55.4
Control,AS 3610 IPRO,100,22,16.6,38.6,49.7,17.2,66.8
Control,AS 3610 IPRO,96,17.7,17.8,35.5,50.1,19,69.1
Control,AS 3610 IPRO,96,16.2,16.4,32.6,56.9,19.4,76.2
Control,AS 3610 IPRO,96,16.5,14.3,30.8,49.1,17.3,66.4
Control,AS 3575 IPRO,100,15.9,15.9,31.8,52.5,17.2,69.6
Control,AS 3575 IPRO,100,16,16.2,32.2,48.1,18.1,66.2
Control,AS 3575 IPRO,100,16.6,13.7,30.3,49.7,18.1,67.9
Control,AS 3575 IPRO,100,14.4,13.6,28,47.1,16.5,63.6
Control,FPS Antares RR,96,18.3,14.1,32.4,52.1,17.2,69.3
Control,FPS Antares RR,96,15.5,16.3,31.8,56.5,22.1,78.6
Control,FPS Antares RR,100,18.8,13.5,32.3,49.9,17.4,67.3
Control,FPS Antares RR,100,16.8,14.8,31.6,53.5,18.7,72.2
Control,FPS Atalanta IPRO,84,14.5,13.2,27.7,50.3,19.9,70.2
Control,FPS Atalanta IPRO,84,15.3,10.6,25.9,48.7,20,68.7
Control,FPS Atalanta IPRO,92,15.9,14.8,30.6,47,18.3,65.3
Control,FPS Atalanta IPRO,92,13.1,10.1,23.1,48.4,21.8,70.2
Control,FPS Iguacu RR,92,14.8,14.7,29.5,43.2,13.7,56.9
Control,FPS Iguacu RR,100,18.1,14.3,32.4,43.7,15.8,59.5
Control,FPS Iguacu RR,96,15.8,13.6,29.4,37.3,16.1,53.5
Control,FPS Iguacu RR,92,18.8,17.8,36.6,42.9,17.2,60.2
Control,FPS Jupiter RR,100,17.2,11.4,28.6,43,14.3,57.3
Control,FPS Jupiter RR,96,19.3,12,31.3,44.1,13.2,57.3
Control,FPS Jupiter RR,100,18.8,13.7,32.5,40.8,14.9,55.7
Control,FPS Jupiter RR,96,19.8,14.5,34.3,45.5,14.5,60
Control,FPS Netuno RR,92,18.9,14.6,33.5,45.1,13,58.1
Control,FPS Netuno RR,100,18.3,16.2,34.5,41.9,13.3,55.1
Control,FPS Netuno RR,88,13.5,13.6,27.1,41.5,13.6,55.1
Control,FPS Netuno RR,92,19,15.8,34.8,40.2,14.3,54.5
Control,FPS Paranapanema RR,82,12.7,14.8,27.5,37,16.4,53.4
Control,FPS Paranapanema RR,98,17.3,11.6,28.8,44.9,18.3,63.2
Control,FPS Paranapanema RR,96,19.8,16.2,36,48.4,18.3,66.7
Control,FPS Paranapanema RR,92,18.9,12.6,31.5,49.8,17.1,66.8
Control,FPS solar RR,88,14.1,12.8,26.9,49.3,16.1,65.4
Control,FPS solar RR,96,16.6,13.9,30.5,50.9,15,65.9
Control,FPS solar RR,92,16.5,13.7,30.2,48.2,15.9,64.1
